,crim,chas,nox,rm,dis,ptratio,black,lstat,medv
394,13.3598,0,0.693,5.8870000000000005,1.7821,20.2,396.9,16.35,2.5416019934645457
149,2.7339700000000002,0,0.871,5.597,1.5257,14.7,351.85,21.45,2.7343675094195836
101,0.11432,0,0.52,6.781000000000001,2.8561,20.9,395.58,7.67,3.2771447329921766
458,7.75223,0,0.713,6.301,2.7831,20.2,272.21,16.23,2.7013612129514133
288,0.0459,0,0.405,6.315,7.3172,16.6,396.9,7.6,3.104586678466073
453,8.24809,0,0.713,7.393,2.4527,20.2,375.87,16.74,2.8791984572980396
261,0.5341199999999999,0,0.647,7.52,2.1398,13.0,388.37,7.26,3.763522997109702
76,0.10153,0,0.43700000000000006,6.279,4.0522,18.7,373.66,11.97,2.995732273553991
475,6.39312,0,0.584,6.162000000000001,2.206,20.2,302.76,24.1,2.5877640352277083
147,2.36862,0,0.871,4.926,1.4608,14.7,391.71,29.53,2.681021528714291
459,6.80117,0,0.713,6.081,2.7175,20.2,396.9,14.7,2.995732273553991
386,24.3938,0,0.7,4.652,1.4672,20.2,396.9,28.28,2.3513752571634776
252,0.08221,0,0.431,6.957000000000001,8.9067,19.1,386.09,3.53,3.3877743613300146
113,0.22211999999999998,0,0.547,6.0920000000000005,2.548,17.8,396.9,17.09,2.928523523860541
257,0.61154,0,0.647,8.704,1.801,13.0,389.7,5.12,3.912023005428146
357,3.8497,1,0.77,6.395,2.5052,20.2,391.34,13.27,3.077312260546414
52,0.0536,0,0.439,6.511,6.8147,16.8,396.9,5.28,3.2188758248682006
27,0.9557700000000001,0,0.5379999999999999,6.047000000000001,4.4534,21.0,306.38,17.28,2.6946271807700692
281,0.03705,0,0.4429,6.968,5.2447,14.9,392.23,4.59,3.5667118201397288
64,0.01951,0,0.4161,7.104,9.2229,18.6,393.24,8.05,3.4965075614664802
109,0.26363000000000003,0,0.52,6.229,2.5451,20.9,391.23,15.55,2.9652730660692823
155,3.5350099999999998,1,0.871,6.152,1.7455,14.7,88.01,15.02,2.747270914255491
497,0.26838,0,0.585,5.794,2.8927,19.2,396.9,14.1,2.9069010598473755
110,0.10793,0,0.52,6.195,2.7778,20.9,393.49,13.0,3.077312260546414
38,0.17505,0,0.499,5.966,3.8473,19.2,393.43,10.13,3.2068032436339315
105,0.13262000000000002,0,0.52,5.851,2.1069,20.9,394.05,16.47,2.970414465569701
194,0.01439,0,0.401,6.604,6.2196,15.6,376.7,4.38,3.370738174177447
406,20.7162,0,0.659,4.138,1.1781,20.2,370.22,23.34,2.4765384001174837
181,0.06888,0,0.488,6.144,2.5979,17.8,396.9,9.45,3.5890591188317256
193,0.02187,0,0.401,6.8,6.2196,15.6,393.37,5.03,3.4372078191851885
75,0.09512000000000001,0,0.43700000000000006,6.2860000000000005,4.5026,18.7,383.23,8.94,3.0633909220278057
302,0.09266,0,0.433,6.495,5.4917,16.1,383.61,8.67,3.2733640101522705
208,0.13587,1,0.489,6.064,4.2392,18.6,381.32,14.66,3.1945831322991562
121,0.07165,0,0.581,6.004,2.1974,19.1,377.67,14.27,3.0106208860477417
300,0.04417,0,0.4,6.871,7.8278,14.8,390.86,6.07,3.2108436531709366
253,0.36894,0,0.431,8.259,8.9067,19.1,396.9,3.54,3.756538102587751
69,0.12816,0,0.409,5.885,6.497999999999999,18.9,396.9,8.79,3.039749158970765
160,1.27346,1,0.605,6.25,1.7984,14.7,338.92,5.5,3.295836866004329
376,15.288,0,0.6709999999999999,6.649,1.3449,20.2,363.02,23.24,2.631888840136646
362,3.6782199999999996,0,0.77,5.362,2.1036,20.2,380.79,10.19,3.0349529867072724
58,0.15445,0,0.45299999999999996,6.145,7.8148,19.7,390.68,6.86,3.1484533605716547
295,0.12932000000000002,0,0.43700000000000006,6.678,5.9604,16.0,396.9,6.27,3.353406717825807
266,0.7857,0,0.647,7.013999999999999,2.1329,13.0,384.07,14.79,3.4242626545931514
57,0.01432,0,0.41100000000000003,6.816,8.3248,15.1,392.9,3.95,3.4531571205928664
87,0.07151,0,0.449,6.121,3.7476,18.5,395.15,8.44,3.100092288878234
170,1.2074200000000002,0,0.605,5.875,2.4259,14.7,292.29,14.43,2.856470206220483
489,0.18337,0,0.609,5.414,1.7554,20.1,344.05,23.97,1.9459101490553132
430,8.49213,0,0.584,6.348,2.0527,20.2,83.45,17.64,2.6741486494265287
238,0.08244,0,0.428,6.481,6.1899,16.6,379.41,6.36,3.1654750481410856
92,0.04203,0,0.46399999999999997,6.442,3.6659,18.2,395.01,8.16,3.131136910560194
106,0.1712,0,0.52,5.836,2.211,20.9,395.67,18.66,2.970414465569701
29,1.00245,0,0.5379999999999999,6.6739999999999995,4.239,21.0,380.23,11.98,3.044522437723423
456,4.668830000000001,0,0.713,5.976,2.5806,20.2,10.48,19.01,2.5416019934645457
191,0.06911,0,0.43700000000000006,6.739,6.4798,15.2,389.71,4.69,3.417726683613366
491,0.10574000000000001,0,0.609,5.983,1.8681,20.1,390.11,18.07,2.6100697927420065
218,0.11069000000000001,1,0.55,5.9510000000000005,2.8893,16.4,396.9,17.92,3.068052935133617
17,0.7842,0,0.5379999999999999,5.99,4.2579,21.0,386.75,14.67,2.8622008809294686
323,0.28392,0,0.493,5.707999999999999,4.7211,19.6,391.13,11.74,2.917770732084279
2,0.02729,0,0.469,7.185,4.9671,17.8,392.83,4.03,3.5467396869528134
59,0.10328,0,0.45299999999999996,5.9270000000000005,6.932,19.7,396.9,9.22,2.975529566236472
63,0.1265,0,0.45299999999999996,6.7620000000000005,7.9809,19.7,395.58,9.5,3.2188758248682006
25,0.84054,0,0.5379999999999999,5.599,4.4546,21.0,303.42,16.51,2.631888840136646
346,0.06162,0,0.442,5.898,8.0136,18.8,364.61,12.67,2.8449093838194073
465,3.1636,0,0.655,5.7589999999999995,3.0665,20.2,334.4,14.13,2.990719731730447
223,0.6147,0,0.507,6.617999999999999,3.2721,17.4,396.9,7.6,3.40452517175483
461,3.69311,0,0.713,6.376,2.5671,20.2,391.43,14.65,2.8735646395797834
222,0.62356,1,0.507,6.879,3.2721,17.4,390.39,9.93,3.3141860046725258
20,1.25179,0,0.5379999999999999,5.57,3.7979,21.0,376.57,21.02,2.6100697927420065
433,5.5810699999999995,0,0.713,6.436,2.3158,20.2,100.19,16.22,2.6602595372658615
187,0.07875,0,0.43700000000000006,6.782,3.7886,15.2,393.87,6.68,3.4657359027997265
207,0.25199,0,0.489,5.7829999999999995,4.3549,18.6,389.43,18.06,3.1135153092103742
384,20.0849,0,0.7,4.368,1.4395,20.2,285.83,30.63,2.174751721484161
166,2.01019,0,0.605,7.928999999999999,2.0459,14.7,369.3,3.7,3.912023005428146
228,0.29819,0,0.504,7.686,3.3751,17.4,377.51,3.92,3.8437441646748516
351,0.0795,0,0.41100000000000003,6.579,10.7103,18.3,370.78,5.49,3.1822118404966093
124,0.09849,0,0.581,5.879,2.0063,19.1,379.38,17.58,2.9338568698359038
